id,Modularity Class
LOC_Os01g01600,0
LOC_Os01g04020,0
LOC_Os01g07120,0
LOC_Os01g07880,0
LOC_Os01g08790,0
LOC_Os01g09280,0
LOC_Os01g09620,0
LOC_Os01g12440,0
LOC_Os01g13460,0
LOC_Os01g14420,0
LOC_Os01g16660,0
LOC_Os01g16810,0
LOC_Os01g17260,0
LOC_Os01g19694,0
LOC_Os01g21120,0
LOC_Os01g23770,0
LOC_Os01g32770,0
LOC_Os01g32890,0
LOC_Os01g39020,0
LOC_Os01g39100,0
LOC_Os01g40670,0
LOC_Os01g42710,0
LOC_Os01g45860,0
LOC_Os01g46870,0
LOC_Os01g47560,0
LOC_Os01g47710,0
LOC_Os01g48320,0
LOC_Os01g48446,0
LOC_Os01g49160,0
LOC_Os01g50110,0
LOC_Os01g51154,0
LOC_Os01g51610,0
LOC_Os01g52090,0
LOC_Os01g52680,0
LOC_Os01g53220,0
LOC_Os01g53650,0
LOC_Os01g54210,0
LOC_Os01g55340,0
LOC_Os01g55549,0
LOC_Os01g55580,0
LOC_Os01g59350,0
LOC_Os01g59660,0
LOC_Os01g60540,0
LOC_Os01g62410,0
LOC_Os01g62510,0
LOC_Os01g62660,0
LOC_Os01g62920,0
LOC_Os01g63160,0
LOC_Os01g63980,0
LOC_Os01g64000,0
LOC_Os01g67970,0
LOC_Os01g68370,0
LOC_Os01g70810,0
LOC_Os01g72490,0
LOC_Os01g74540,0
LOC_Os02g05450,0
LOC_Os02g05510,0
LOC_Os02g06584,0
LOC_Os02g06910,0
LOC_Os02g07800,0
LOC_Os02g07840,0
LOC_Os02g09480,0
LOC_Os02g09650,0
LOC_Os02g10080,0
LOC_Os02g13800,0
LOC_Os02g16240,0
LOC_Os02g18370,0
LOC_Os02g18460,0
LOC_Os02g18660,0
LOC_Os02g19804,0
LOC_Os02g30700,0
LOC_Os02g32590,0
LOC_Os02g33560,0
LOC_Os02g34260,0
LOC_Os02g34370,0
LOC_Os02g34590,0
LOC_Os02g36510,0
LOC_Os02g38130,0
LOC_Os02g39540,0
LOC_Os02g40070,0
LOC_Os02g43170,0
LOC_Os02g43820,0
LOC_Os02g45480,0
LOC_Os02g45570,0
LOC_Os02g46030,0
LOC_Os02g46940,0
LOC_Os02g47770,0
LOC_Os02g48060,0
LOC_Os02g48270,0
LOC_Os02g49370,0
