Source,Target,Type,Weight
LOC_Os07g35370,LOC_Os01g64630,undirected,0.1
LOC_Os07g35370,LOC_Os05g36290,undirected,0.1
LOC_Os07g35370,LOC_Os11g06390,undirected,0.1
LOC_Os07g35370,LOC_Os05g01600,undirected,0.1
LOC_Os07g35370,LOC_Os12g06660,undirected,0.1
LOC_Os03g46650,LOC_Os02g04520,undirected,0.1
LOC_Os05g04850,LOC_Os08g01660,undirected,0.1
LOC_Os05g04850,LOC_Os12g18880,undirected,0.1
LOC_Os06g11370,LOC_Os08g37480,undirected,0.1
LOC_Os07g48780,LOC_Os09g29170,undirected,0.1
LOC_Os03g20370,LOC_Os09g29170,undirected,0.1
LOC_Os01g16240,LOC_Os09g29170,undirected,0.1
LOC_Os01g23630,LOC_Os01g62820,undirected,0.1
LOC_Os06g11370,LOC_Os09g35920,undirected,0.1
LOC_Os03g45410,LOC_Os06g43790,undirected,0.1
LOC_Os02g43750,LOC_Os03g29470,undirected,0.1
LOC_Os03g20370,LOC_Os03g48270,undirected,0.1
LOC_Os01g16240,LOC_Os03g48270,undirected,0.1
LOC_Os03g46650,LOC_Os05g26890,undirected,0.1
LOC_Os05g48620,LOC_Os07g31370,undirected,0.1
LOC_Os06g11370,LOC_Os09g10960,undirected,0.1
LOC_Os02g56270,LOC_Os11g01380,undirected,0.1
LOC_Os02g56270,LOC_Os12g01390,undirected,0.1
LOC_Os04g56640,LOC_Os06g11370,undirected,0.1
LOC_Os03g20370,LOC_Os03g43760,undirected,0.1
LOC_Os01g16240,LOC_Os03g43760,undirected,0.1
LOC_Os02g10020,LOC_Os04g40940,undirected,0.1
LOC_Os01g43410,LOC_Os03g20370,undirected,0.1
LOC_Os05g50810,LOC_Os07g48780,undirected,0.1
LOC_Os01g43410,LOC_Os07g48780,undirected,0.1
LOC_Os03g53960,LOC_Os10g28040,undirected,0.1
LOC_Os03g20370,LOC_Os07g03820,undirected,0.1
LOC_Os01g16240,LOC_Os07g03820,undirected,0.1
LOC_Os03g20370,LOC_Os07g04010,undirected,0.1
LOC_Os01g16240,LOC_Os07g04010,undirected,0.1
LOC_Os03g20370,LOC_Os07g38820,undirected,0.1
LOC_Os01g16240,LOC_Os07g38820,undirected,0.1
LOC_Os01g23630,LOC_Os01g48810,undirected,0.1
LOC_Os01g16240,LOC_Os01g43410,undirected,0.1
LOC_Os03g20370,LOC_Os05g50810,undirected,0.1
LOC_Os01g16240,LOC_Os05g50810,undirected,0.1
LOC_Os09g24440,LOC_Os09g26180,undirected,0.1
LOC_Os03g29470,LOC_Os09g26180,undirected,0.1
LOC_Os06g43790,LOC_Os09g26180,undirected,0.1
LOC_Os03g32590,LOC_Os09g26180,undirected,0.1
LOC_Os02g43750,LOC_Os09g26180,undirected,0.1
LOC_Os01g62820,LOC_Os09g26180,undirected,0.1
LOC_Os01g23630,LOC_Os09g26180,undirected,0.1
LOC_Os01g19694,LOC_Os01g62920,undirected,0.1
LOC_Os01g62920,LOC_Os05g38120,undirected,0.1
LOC_Os01g19694,LOC_Os05g38120,undirected,0.1
LOC_Os02g56270,LOC_Os03g02150,undirected,0.1
LOC_Os03g32590,LOC_Os06g44030,undirected,0.1
LOC_Os02g43750,LOC_Os06g44030,undirected,0.1
LOC_Os03g29470,LOC_Os06g44030,undirected,0.1
LOC_Os06g43790,LOC_Os06g44030,undirected,0.1
LOC_Os01g62820,LOC_Os06g44030,undirected,0.1
LOC_Os01g62820,LOC_Os02g43750,undirected,0.1
LOC_Os01g23630,LOC_Os02g43750,undirected,0.1
LOC_Os02g43750,LOC_Os03g32590,undirected,0.1
LOC_Os03g29470,LOC_Os03g32590,undirected,0.1
LOC_Os01g62820,LOC_Os03g32590,undirected,0.1
LOC_Os01g23630,LOC_Os03g32590,undirected,0.1
LOC_Os04g40940,LOC_Os10g42420,undirected,0.1
LOC_Os03g08440,LOC_Os03g46490,undirected,0.1
