id,Modularity Class
LOC_Os01g01430,0
LOC_Os01g02110,0
LOC_Os01g03720,0
LOC_Os01g03890,0
LOC_Os01g06640,0
LOC_Os01g07430,0
LOC_Os01g07450,0
LOC_Os01g07480,0
LOC_Os01g08160,0
LOC_Os01g09080,0
LOC_Os01g09550,0
LOC_Os01g11910,0
LOC_Os01g13520,0
LOC_Os01g13540,0
LOC_Os01g14010,0
LOC_Os01g18240,0
LOC_Os01g24070,0
LOC_Os01g36460,0
LOC_Os01g47760,0
LOC_Os01g48130,0
LOC_Os01g50720,0
LOC_Os01g52410,0
LOC_Os01g53040,0
LOC_Os01g53260,0
LOC_Os01g54600,0
LOC_Os01g57580,0
LOC_Os01g58760,0
LOC_Os01g60520,0
LOC_Os01g62130,0
LOC_Os01g63460,0
LOC_Os01g64020,0
LOC_Os01g65080,0
LOC_Os01g67770,0
LOC_Os01g69910,0
LOC_Os01g70890,0
LOC_Os01g74140,0
LOC_Os01g74410,0
LOC_Os02g02370,0
LOC_Os02g04640,0
LOC_Os02g04680,0
LOC_Os02g07780,0
LOC_Os02g08500,0
LOC_Os02g08544,0
LOC_Os02g10140,0
LOC_Os02g13710,0
LOC_Os02g16540,0
LOC_Os02g22020,0
LOC_Os02g29550,0
LOC_Os02g31160,0
LOC_Os02g31890,0
LOC_Os02g34970,0
LOC_Os02g36924,0
LOC_Os02g39160,0
LOC_Os02g41450,0
LOC_Os02g42970,0
LOC_Os02g45200,0
LOC_Os02g46780,0
LOC_Os02g47060,0
LOC_Os02g51670,0
LOC_Os02g52190,0
LOC_Os02g52340,0
LOC_Os02g52780,0
LOC_Os02g53100,0
LOC_Os02g53620,0
LOC_Os02g54520,0
LOC_Os02g55250,0
LOC_Os02g55320,0
LOC_Os02g56600,0
LOC_Os02g57490,0
LOC_Os02g57650,0
LOC_Os03g03164,0
LOC_Os03g03260,0
LOC_Os03g03540,0
LOC_Os03g04310,0
LOC_Os03g05590,0
LOC_Os03g06930,0
LOC_Os03g07360,0
LOC_Os03g07880,0
LOC_Os03g08490,0
LOC_Os03g08754,0
LOC_Os03g09170,0
LOC_Os03g09280,0
LOC_Os03g10210,0
LOC_Os03g12350,0
LOC_Os03g12860,0
LOC_Os03g13600,0
LOC_Os03g14810,0
LOC_Os03g16850,0
LOC_Os03g17150,0
LOC_Os03g19370,0
LOC_Os03g20900,0
LOC_Os03g22170,0
LOC_Os03g27090,0
LOC_Os03g27390,0
LOC_Os03g29760,0
LOC_Os03g41330,0
LOC_Os03g42630,0
LOC_Os03g44540,0
LOC_Os03g46860,0
