Source,Target,Type,Weight
LOC_Os02g08544,LOC_Os03g47740,undirected,0.1
LOC_Os06g43860,LOC_Os03g47740,undirected,0.1
LOC_Os02g08544,LOC_Os09g26870,undirected,0.1
LOC_Os06g43860,LOC_Os09g26870,undirected,0.1
LOC_Os02g08544,LOC_Os05g41670,undirected,0.1
LOC_Os06g43860,LOC_Os05g41670,undirected,0.1
LOC_Os07g48570,LOC_Os03g07360,undirected,0.1
LOC_Os07g48570,LOC_Os08g04390,undirected,0.1
LOC_Os01g47760,LOC_Os07g48820,undirected,0.1
LOC_Os02g42230,LOC_Os02g53680,undirected,0.1
LOC_Os04g47990,LOC_Os02g39160,undirected,0.1
LOC_Os06g49840,LOC_Os11g06170,undirected,0.1
LOC_Os06g49840,LOC_Os04g28260,undirected,0.1
LOC_Os10g39030,LOC_Os03g62640,undirected,0.1
LOC_Os04g47990,LOC_Os10g26620,undirected,0.1
LOC_Os06g49840,LOC_Os05g43040,undirected,0.1
LOC_Os05g04850,LOC_Os08g01660,undirected,0.1
LOC_Os05g04850,LOC_Os12g18880,undirected,0.1
LOC_Os02g36924,LOC_Os08g02070,undirected,0.1
LOC_Os02g43920,LOC_Os03g13370,undirected,0.1
LOC_Os02g43920,LOC_Os04g40830,undirected,0.1
LOC_Os03g19059,LOC_Os04g40830,undirected,0.1
LOC_Os04g40830,LOC_Os05g50360,undirected,0.1
LOC_Os04g51110,LOC_Os06g41750,undirected,0.1
LOC_Os05g50360,LOC_Os06g41750,undirected,0.1
LOC_Os04g40830,LOC_Os06g41750,undirected,0.1
LOC_Os03g05020,LOC_Os08g43130,undirected,0.1
LOC_Os05g48620,LOC_Os07g31370,undirected,0.1
LOC_Os05g45590,LOC_Os05g45950,undirected,0.1
LOC_Os04g40830,LOC_Os07g22840,undirected,0.1
LOC_Os02g58730,LOC_Os06g21340,undirected,0.1
LOC_Os11g40150,LOC_Os12g04980,undirected,0.1
LOC_Os11g04954,LOC_Os12g04980,undirected,0.1
LOC_Os04g43300,LOC_Os05g43610,undirected,0.1
LOC_Os02g43920,LOC_Os02g54490,undirected,0.1
LOC_Os04g40830,LOC_Os02g54490,undirected,0.1
LOC_Os02g14840,LOC_Os05g35410,undirected,0.1
LOC_Os01g52070,LOC_Os05g35410,undirected,0.1
LOC_Os01g51770,LOC_Os05g45590,undirected,0.1
LOC_Os01g40570,LOC_Os05g45590,undirected,0.1
LOC_Os05g35410,LOC_Os06g14310,undirected,0.1
LOC_Os03g47740,LOC_Os08g19650,undirected,0.1
LOC_Os11g04954,LOC_Os11g40150,undirected,0.1
LOC_Os11g40150,LOC_Os12g31370,undirected,0.1
LOC_Os12g04980,LOC_Os12g31370,undirected,0.1
LOC_Os11g04954,LOC_Os12g31370,undirected,0.1
LOC_Os02g29464,LOC_Os04g54340,undirected,0.1
LOC_Os02g29464,LOC_Os08g08030,undirected,0.1
LOC_Os02g20850,LOC_Os02g58730,undirected,0.1
LOC_Os02g20850,LOC_Os02g50860,undirected,0.1
LOC_Os02g20850,LOC_Os06g12790,undirected,0.1
LOC_Os02g20850,LOC_Os05g43820,undirected,0.1
LOC_Os02g58730,LOC_Os06g12790,undirected,0.1
LOC_Os02g58730,LOC_Os05g43820,undirected,0.1
LOC_Os02g02840,LOC_Os02g20850,undirected,0.1
LOC_Os02g02840,LOC_Os02g58730,undirected,0.1
LOC_Os02g02840,LOC_Os02g50860,undirected,0.1
LOC_Os02g02840,LOC_Os06g12790,undirected,0.1
LOC_Os02g02840,LOC_Os05g43820,undirected,0.1
LOC_Os02g50860,LOC_Os02g58730,undirected,0.1
LOC_Os02g50860,LOC_Os06g12790,undirected,0.1
LOC_Os02g50860,LOC_Os05g43820,undirected,0.1
LOC_Os05g43820,LOC_Os06g12790,undirected,0.1
