Module 2,GO:0006350,transcription,Transcriptional Regulation
Module 4,GO:0045449,regulation of transcription,Transcriptional Regulation
Module 7,GO:0006468,protein phosphorylation,Signal Transduction
Module 13,GO:0045449,regulation of transcription,Transcriptional Regulation
Module 14,GO:0045449,regulation of transcription,Transcriptional Regulation
Module 21,GO:0006468,protein phosphorylation,Signal Transduction
Module 24,GO:0031497,chromatin assembly factor,Defense Response
Module 26,GO:0006352,DNA-dependent transcription initiation,Transcriptional Regulation
Module 32,GO:0010468,regulation of gene expression,Transcriptional Regulation
Module 34,GO:0045449,regulation of transcription,Transcriptional Regulation
Module 36,GO:0010468,regulation of gene expression,Transcriptional Regulation
Module 50,GO:0022403,cell cycle phase,Growth and Development
Module 58,GO:0006468,protein phosphorylation,Signal Transduction
Module 68,GO:0006396,RNA processing,Transcriptional Regulation
Module 69,GO:0030029,actin cytoskeleton organization,Defense response
Module 71,GO:0007264,small GTPase mediated signal transduction,Signal Transduction
Module 72,GO:0006355,regulation of transcription DNA-dependent,Transcriptional Regulation
Module 79,GO:0006350,transcription DNA-dependent,Transcriptional Regulation
Module 80,GO:0006468,protein phosphorylation,Signal Transduction
Module 85,GO:0009058,biosynthetic process,Growth and Development
Module 86,GO:0046488,phosphatidylinositol metabolic process,Signal Transduction
Module 95,GO:0006793,phosphorus metabolic process,Growth and Development
Module 109,GO:0016071,mRNA metabolic process,Transcriptional Regulation
Module 116,GO:0032012,regulation of ARF protein signal transduction,Signal Transduction
Module 131,GO:0043631,RNA polyadenylation,Transcriptional Regulation
Module 172,GO:0009081,branched-chain amino acid metabolic process,Defense response
Module 174,GO:0006168,adenine salvage,Growth and Development
Module 191,GO:0031326,regulation of cellular biosynthetic process,Growth and Development
Module 201,GO:0009058,biosynthetic process,Growth and Development
Module 206,GO:0007165,signal transduction,Signal Transduction
Module 224,GO:0045454,cell redox homeostasis,Signal Transduction
Module 235,GO:0009725,response to Hormone stimulus,Hormone
Module 238,GO:0010468,regulation of gene expression,Transcriptional Regulation
Module 245,GO:0006351,transcription DNA-dependent,Transcriptional Regulation
Module 261,GO:0016192,vesicle-mediated transport,Defense Response
Module 289,GO:0006914,autophagy,Defense response
Module 290,GO:0022403,cell cycle phase,Growth and Development
Module 301,GO:0006350,transcription DNA-dependent,Transcriptional Regulation
Module 307,GO:0006351,transcription DNA-dependent,Transcriptional Regulation
